v2.6.12,C,3399664
v2.6.14,C,3584706
v2.6.15,C,3651560
v2.6.17,C,3822001
v2.6.18,C,3886510
v2.6.19,C,4003385
v2.6.21,C,4146881
v2.6.22,C,4252863
v2.6.24,C,4455413
v2.6.25,C,4622321
v2.6.26,C,4708241
v2.6.27,C,4847286
v2.6.28,C,5068255
v2.6.29,C,5486445
v2.6.30,C,5819809
v2.6.31,C,6026766
v2.6.32,C,6331384
v2.6.33,C,6538049
v2.6.34,C,6717544
v2.6.35,C,6955530
v2.6.36,C,7121465
v2.6.37,C,7371584
v2.6.38,C,7549182
v2.6.39,C,7741637
v3.0,C,7813529
v3.1,C,7897570
v3.10,C,9049337
v3.11,C,9297876
v3.12,C,9470639
v3.13,C,9581096
v3.14,C,9767731
v3.15,C,9950354
v3.16,C,10079813
v3.17,C,10065617
v3.18,C,10129204
v3.19,C,10192727
v3.2,C,8036742
v3.3,C,8122638
v3.4,C,8249869
v3.5,C,8376549
v3.6,C,8514644
v3.7,C,8668807
v3.8,C,8776898
v3.9,C,8911873
v4.1,C,10390938
v4.2,C,10651300
v4.3,C,10808497
v4.4,C,10924679
v4.5,C,11062477
